1,1,松本　純,111730
1,6,はやし　貞三,10243
1,7,なかいえ　治子,15331
1,9,さとう　謙一郎,87380
2,1,すが　義偉,115495
2,7,湯川　みわ子,22997
2,9,大出　彰,93406
3,1,おこのぎ　八郎,91207
3,10,山下　浩一郎,4489
3,6,和田　茂,10158
3,7,大谷　つとむ,18867
3,9,かとう　尚彦,81996
4,1,林　じゅん,74267
4,10,まわたり　龍治,13706
4,7,林　のぶあき,13473
4,9,大石　尚子,89515
5,1,さかい　学,91513
5,7,大森　たけし,30770
5,9,田中　慶秋,123905
6,10,勝又　恒一郎,30689
6,2,上田　いさむ,82269
6,6,上田　けい子,15854
6,7,藤井　みどり,13538
6,9,池田　元久,81733
7,1,鈴木　恒夫,93857
7,7,松阪　まさ子,16796
7,9,すとう　信彦,96479
8,1,吉田　たかよし,39434
8,10,江田　けんじ,78782
8,7,山中　えいじ,9801
8,9,岩国　哲人,80752
9,1,なかみなと　拓,57457
9,10,小林　武治,5696
9,7,かもした　元,14409
9,9,笠　ひろふみ,78590
10,1,田中　かずのり,114766
10,7,笠木　たかし,34003
10,9,はかりや　圭宏,89752
11,1,小泉　純一郎,174374
11,7,せと　和弘,13632
11,9,沢木　ゆうすけ,46290
12,1,桜井　いくぞう,73767
12,10,鈴木　浩一,4617
12,6,あべ　ともこ,26954
12,7,高松　みどり,11280
12,9,中塚　一宏,75826
13,1,甘利　明,139236
13,7,新井　しゅんじ,19431
13,9,つちだ　龍司,86256
14,1,中本　たえい,81794
14,10,みの浦　いつお,2134
14,6,原　よう子,26508
14,7,藤原　正明,14915
14,9,ふじい　裕久,97214
15,1,河野　太郎,148955
15,10,桂　秀光,6674
15,7,吉田　貞夫,16122
15,9,酒井　文彦,76967
16,1,かめい　善之,125067
16,7,ひやま　千里,17877
16,9,長田　ひでとも,82967
17,1,河野　洋平,135206
17,7,鈴木　新三郎,18690
17,9,さかぐち　直人,81900
18,1,やまぎわ　大志郎,58001
18,10,安済　清雄,875
18,10,小川　栄一,15136
18,10,平田　けいこ,13267
18,6,竹村　英明,5610
18,7,むねた　裕之,13084
18,9,ひだか　剛,64879
